Tip,chinese_name,episode,movie_name,ranking,score,score_num
10话/2019年4月28日/諫山創（別冊少年マガジン連載／講談社）,进击的巨人 第三季 Part.2,10,進撃の巨人 Season 3 Part.2,18,8.7,3945
26话/2005年10月22日/長濵博史/漆原友紀/馬越嘉彦,虫师,26,蟲師,17,8.7,6057
11话/2010年4月22日/湯浅政明/森見登美彦/伊東伸高,四叠半神话大系,11,四畳半神話大系,44,8.5,5218
6话/1989年3月25日/高山文彦/矢立肇、富野由悠季/美樹本晴彦,机动战士高达0080 口袋里的战争,6,機動戦士ガンダム0080 ポケットの中の戦争,43,8.5,1836
1话/2008年7月12日/押井守,攻壳机动队2.0,1,GHOST IN THE SHELL / 攻殻機動隊2.0,42,8.5,1664
11话/2013-12-02/JustinRoiland、DanHarmon,瑞克和莫蒂 第一季,11,Rick and Morty Season 1,41,8.5,1320
10话/2016年10月7日/満仲勧/古舘春一（集英社「週刊少年ジャンプ」連載）,排球少年 乌野高校 VS 白鸟泽学园高校,10,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,40,8.5,2081
1话/1986年8月2日/宮崎駿,天空之城,1,天空の城ラピュタ,39,8.5,5695
50话/1985年3月2日/富野由悠季/矢立肇/安彦良和,机动战士Z高达,50,機動戦士Ζガンダム,38,8.5,1490
1999年10月20日/宇田鋼之介（1-278）、志水淳児（131-159）→境宗久（244-372）→宮元宏彰（352-679）→深澤敏則（663-891）、伊藤聡伺（780-782）→長峯達也（780-782、892-）、暮田公平、小牧文（892-）/尾田栄一郎（集英社「週刊少年ジャンプ」連載）/小泉昇（1-425）→久田和也（385-891）→松田翠（780-782、892-）,海贼王,未知,ONE PIECE,37,8.5,6375
3话/1998年3月7日/庵野秀明,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,3,REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,48,8.4,2596
1话/2006年11月25日/今敏/筒井康隆,盗梦侦探,1,パプリカ,47,8.4,4355
3话/2015年9月26日/佐藤順一/天野こずえ/音地正行,水星领航员 The AVVENIRE,3,ARIA The AVVENIRE,46,8.5,665
12话/2011年1月7日/新房昭之/MagicaQuartet/岸田隆宏,魔法少女小圆,12,魔法少女まどか☆マギカ,45,8.4,14112
