,jiandu1,jiandu2,jiandu3,jiandu4
312, 細田守 , 中鶴勝祥 ,,
313, 木头(MTJJ) ,,,
314, 钱家骏、戴铁郎 , 胡永凯 ,,
315, 小野勝巳 , 高橋和希 スタジオ・ダイス , 丸山修二 ,
316,,,,
317,,,,
318, 2009-05-29(美国) ,,,
319, あおきえい , 瀬川はじめ（月刊「少年エース」連載、角川コミックス・エース刊） , 堀内修 ,
320, 松見真一 , 「BEASTARS」板垣巴留（秋田書店「週刊少年チャンピオン」連載） , 大津直 ,
321, 林祐一郎 , 林田球（小学館「ゲッサン」刊） , 岸友洋 ,
322, 川口敬一郎 , 桜場コハル , 鈴木豪 ,
323,,,,
324, 山田風太郎 ,,,
325, 野坂昭如 ,,,
326, 古橋一浩 , 和月伸宏 , 濱洲英喜→室井ふみえ ,
327,,,,
328, 佐藤卓哉 , ばらスィー ,,
329, 村野佑太 , 久米田康治（講談社「月刊少年マガジン」連載） , 山本周平 ,
330, 渡部高志 , 神坂一 , 宮田奈保美 ,
331, 東堂いづみ（擬人名称） ,,,
332,,,,
333, 新房昭之 , 久米田康治 , 守岡英行 ,
334,,,,
335, 和田純一 , 枯野瑛 , 今西亨 ,
336,,,,
337, 鶴巻和哉 , GAINAX , 貞本義行 ,
338, 水島努 , 黄瀬和哉 ,,
339, 野村哲也 , 竹谷隆之 ,,
340, 太田雅彦 , 桜場コハル , 越智信次 ,
341,,,,
342, 車田正美 , 荒木伸吾、姫野美智 ,,
343, 石黒昇 , 田中芳樹 ,,
344, 恩田尚之 ,,,
345, 石原立也 , あらゐけいいち , 西屋太志 ,
346, 山本沙代 ,,,
347,,,,
348,,,,
349, 日丸屋秀和「黑塔利亚 Axis Powers」（幻冬舍漫画刊） , 河南正昭 ,,
350, 赤城博昭 , 山本崇一朗「からかい上手の高木さん」「あしたは土曜日」（小学館「ゲッサン」刊） , 高野綾 ,
351, 严定宪、王树忱、徐景达 ,,,
352, 太田雅彦 , なもり（一迅社「コミック百合姫」連載） , 中島千明 ,
353, 庵野秀明、佐藤裕紀（15話～） , 津田雅美（白泉社LaLaコミックス刊） ,,
354, 秋山勝仁 , レベルファイブ , 池田裕治、井ノ上ユウ子 ,
355, 青山剛昌 , 須藤昌朋(#1 -#355)→とみながまり(#219、#263、#356 - #504)→須藤昌朋、山中純子(#505-#576)→須藤昌朋(#577-#626)→須藤昌朋、牟田清司(#627-#680)→須藤昌朋(#681-#803)→須藤昌朋、岩井伸之(#804-#870) →須藤昌朋(#871-) ,,
356, 出渕裕 , BONES、出渕裕 , 菅野宏紀 ,
357, 新房昭之 , 中村光 , 杉山延寛 ,
358, ヤマサキオサム（山崎理） , 竹宮惠子 ,,
359,,,,
360, 石ダテコー太郎 ,,,
361, 神山健治 , 神山健治 , 森川聡子 ,
362, 湯浅政明 ,,,
363, 原恵一 , 臼井儀人 , 末吉裕一郎 ,
364,,,,
365, 福山庸治、河森正治、二村秀樹、福島敦子、渡辺信一郎、木村真二、湯浅政明 ,,,
366, 長岡康史 , 森岡浩之（ハヤカワ文庫刊） ,,
367, 三沢伸 , しげの秀一 ,,
368, 押井守 , 森博嗣 , 西尾鉄也 ,
369,,,,
370, えんどうてつや ,,,
371, 曲建方、靳夕、刘蕙仪、蔡渊澜、金芳玲 , 孙大衡 ,,
372, 神戸守 , 白井カイウ・出水ぽすか（集英社「週刊少年ジャンプ」連載） ,,
373, 芦田豊雄 , 武論尊、原哲夫 , 須田正己 ,
374,,,,
375, 長岡康史 , 森岡浩之（ハヤカワ文庫刊） ,,
376, 東堂いづみ（擬人名称） ,,,
377, 須藤友徳 , 奈須きのこ／TYPE-MOON ,,
378,,,,
379, Pete Docter ,,,
380, 宍戸淳 , 杉浦幸次 ,,
381, 大槻敦史 , 高津カリノ , 足立慎吾 ,
382, 若林漢二 , 志倉千代丸、MAGES.、 Nitro+ , 坂井久太 ,
383, 及川啓 , 渡航（小学館「ガガガ文庫」） , 田中雄一 ,
384,,,,
385, 板村智幸 , 西尾維新 『終物語』 (講談社BOX) , 渡辺明夫 ,
386, 吉成曜 , TRIGGER／吉成曜 ,,
387, らんてぃ ,,,
388, 高畑勲 , 高畑勲 ,,
