,chinese_name,director,episode,movie_name,movie_time,ranking,score,score_num,summary,tv_time,week,month,day,year
3639,这个男人,山本苍美,4,この男子、魔法がお仕事です。,,3881.0,6.2,88.0,魔法局・危機対策課の隊長として忙しい毎日を送る魔法使い、神島千晴（かしまちはる）は、行きつけのバーで気さくな青年、内海十四日（うつみとよひ）と出会い意気投合。その帰り際、十四日から明るく「神島さんに恋しちゃいました」と告白される。突然の事に困惑する神島だったが、その後も自然に懐いてくる十四日のペースに流され、一緒に過ごす時間が増えていく。,2/5/2016,星期五,2,5,2016
3640,寄宿学校的朱丽叶,宅野诚起,12,寄宿学校のジュリエット,,3883.0,6.5,910.0,两人之间的恋爱，是秘密——。,10/5/2018,星期五,10,5,2018
3641,剧场版,汤山邦彦,1,劇場版 ポケットモンスター ベストウイッシュ ビクティニと白き英雄 レシラム,,3884.0,6.3,181.0,合众地方旅行的小智、艾莉丝、天桐一行人，来到了被称为“大地之剑”的塔为中心发展的城市：艾茵多奥克。这里是由曾经繁荣一时的大地之民所建立的国度，但现在已经落殁。,,,,,
3642,名侦探柯南,山本泰一郎,1,名探偵コナン BONUS FILE ファンタジスタの花,,3885.0,6.3,131.0,劇場版『名探偵コナン11人目のストライカー』の後日談。,,,,,
3643,食戟之灵,米谷良知,12,食戟のソーマ 神ノ皿,,3886.0,6.5,694.0,一边在自家的餐馆“幸平”帮忙，一边磨炼料理水平的幸平创真，进入了超级精英料理学校“远月茶寮料理学园”。,10/11/2019,星期五,10,11,2019
3644,企鹅娘,松井一之,22,ペンギン娘♥はぁと,,3887.0,6.4,197.0,《企鹅娘》故事发生在私立北极学园，芳龄14岁、外号“企鹅”的御宅族少女（原作称“少女A”，A=AKIBA=秋叶原）转学至此，她同时也是超有钱的南极集团千金，后来成为学生会长。满脑子的价值观以动画为中心，作为兴趣的COSPLAY更是家常便饭，特技是在COSPLAY状态下便可发挥该角色的能力。登场人物多以南北极动物为名（如企鹅、鲸鱼），围绕着御宅族少女与学校里的朋友，发生着各种各样的爆笑故事。,4/19/2008,,4,19,2008
3645,名侦探柯南,山本泰一郎,1,名探偵コナン MAGIC FILE2 工藤新一 謎の壁と黒ラブ事件,,3888.0,6.3,155.0,本作は、江戸川コナンになる前の工藤新一のストーリーでコナンはナレーションを担当している。また、劇場版『戦慄の楽譜』で、蘭の回想シーンに登場する場面が描かれる。,,,,,
3646,旋风管家,小森秀人,1,劇場版 ハヤテのごとく! HEAVEN IS A PLACE ON EARTH,8/27/2011,3889.0,6.5,782.0,在暑假快将完结的时候，管家绫崎飒和他的主人三千院凪大小姐，连同一众好友来到西泽步的乡村田舍。在没有动画和游戏，以致手提电话讯号不清的状况下，管家和大小姐等人卷入了奇怪的事当中……,,,,,
3647,乌托邦,,1,ユートピア,,3890.0,6.4,225.0,真实之泪×花开伊吕波×TARITARIJOINTFESTIVALBD收录新作OVA,,,,,
3648,纯白交响曲,菅沼荣治,12,ましろ色シンフォニー -The color of lovers-,,3891.0,6.5,1764.0,10月，那是由秋入冬的季节。,10/5/2011,,10,5,2011
3649,山贼的女儿罗妮娅,宫崎吾朗,26,山賊の娘ローニャ,,3892.0,6.2,92.0,《山贼之女罗妮娅》的故事发生在有着中世纪欧罗巴风情的广袤森林里，主人公少女罗妮娅是生活在位于那片林中的巨大古城中的山贼马堤斯的独生女。在父亲、母亲和山贼伙伴们熏陶下成长起来的罗妮娅，有一天被允许一个人离开自家的地盘。依靠自己的力量慢慢学习着生存的她，随后便与一个名叫毕尔克少年相遇了……作品不仅描述了罗妮娅一个人的成长过程，同时还关乎于孩子们对未知事物的憧憬，以及绿林家族间的恩怨。,10/11/2014,星期六,10,11,2014
